ID,Name,Type 1,Type 2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,Category,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Ability 1,Ability 2,NoGender,EggGroup1,EggGroup2,IsMega,FightsWon,TotalFights,WinPercentage 
212,Espeon,Psychic,Psychic,Magic Bounce,2,65.0,65.0,60.0,130.0,95.0,110.0,525.0,26.5,0.9,0.875,Sun Pokémon,45,35,Medium Fast,70,0,0,0,2,2,Eevee,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,Synchronize,None,0,Field,No Eggs Discovered,0,117,142,0.823944
213,Umbreon,Dark,Dark,Inner Focus,2,95.0,65.0,110.0,60.0,130.0,65.0,525.0,27.0,1.0,0.875,Moonlight Pokémon,45,35,Medium Fast,35,0,0,0,2,2,Eevee,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,Synchronize,None,0,Field,No Eggs Discovered,0,67,127,0.527559
214,Murkrow,Dark,Flying,Prankster,2,60.0,85.0,42.0,85.0,42.0,91.0,405.0,2.1,0.5,0.5,Darkness Pokémon,30,20,Medium Slow,35,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.0,2.0,1.0,0.5,2.0,Insomnia,Super Luck,0,Flying,No Eggs Discovered,0,130,158,0.822785
215,Slowking,Water,Psychic,Regenerator,2,95.0,75.0,80.0,100.0,110.0,30.0,490.0,79.5,2.0,0.5,Royal Pokémon,70,20,Medium Fast,70,0,0,0,2,2,Slowpoke,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0,Oblivious,Own Tempo,0,Monster,Water 1,0,32,132,0.242424
216,Misdreavus,Ghost,Ghost,None,2,60.0,60.0,60.0,85.0,85.0,85.0,435.0,1.0,0.7,0.5,Screech Pokémon,45,25,Fast,35,0,0,0,1,2,No Preevolution,0.0,0.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Levitate,None,0,Amorphous,No Eggs Discovered,0,84,133,0.631579
217,Unown,Psychic,Psychic,None,2,48.0,72.0,48.0,72.0,48.0,48.0,336.0,5.0,0.5,0.5,Symbol Pokémon,225,40,Medium Fast,70,0,0,0,1,1,No Preevolution,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,Levitate,None,1,No Eggs Discovered,No Eggs Discovered,0,33,127,0.259843
218,Wobbuffet,Psychic,Psychic,Telepathy,2,190.0,33.0,58.0,33.0,58.0,33.0,405.0,28.5,1.3,0.5,Patient Pokémon,45,20,Medium Fast,70,0,0,0,2,2,Wynaut,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,Shadow Tag,None,0,Amorphous,No Eggs Discovered,0,18,134,0.134328
219,Girafarig,Normal,Psychic,Sap Sipper,2,70.0,80.0,65.0,90.0,65.0,85.0,455.0,41.5,1.5,0.5,Long Neck Pokémon,60,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,Inner Focus,Early Bird,0,Field,No Eggs Discovered,0,74,128,0.578125
220,Pineco,Bug,Bug,Overcoat,2,50.0,65.0,90.0,35.0,35.0,15.0,290.0,7.2,0.6,0.5,Bagworm Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,Sturdy,None,0,Bug,No Eggs Discovered,0,16,109,0.146789
221,Forretress,Bug,Steel,Overcoat,2,75.0,90.0,140.0,60.0,60.0,40.0,465.0,125.8,1.2,0.5,Bagworm Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Pineco,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5,Sturdy,None,0,Bug,No Eggs Discovered,0,37,123,0.300813
222,Dunsparce,Normal,Normal,Rattled,2,100.0,70.0,70.0,65.0,65.0,45.0,415.0,14.0,1.5,0.5,Land Snake Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Serene Grace,Run Away,0,Field,No Eggs Discovered,0,26,137,0.189781
223,Gligar,Ground,Flying,Immunity,2,65.0,75.0,105.0,35.0,65.0,85.0,430.0,64.8,1.1,0.5,Fly Scorpion Pokémon,60,20,Medium Slow,70,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,Hyper Cutter,Sand Veil,0,Bug,No Eggs Discovered,0,93,134,0.69403
224,Steelix,Steel,Ground,Sheer Force,2,75.0,85.0,200.0,55.0,65.0,30.0,510.0,400.0,9.2,0.5,Iron Snake Pokémon,25,25,Medium Fast,70,0,0,1,2,2,Onix,0.5,2.0,0.5,0.0,2.0,0.25,0.5,1.0,0.5,2.0,2.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,Rock Head,Sturdy,0,Mineral,No Eggs Discovered,0,25,149,0.167785
225,Mega Steelix,Steel,Ground,None,2,75.0,125.0,230.0,55.0,95.0,30.0,610.0,740.0,10.5,0.5,Iron Snake Pokémon,25,25,Medium Fast,70,0,0,1,2,2,Steelix,0.5,2.0,0.5,0.0,2.0,0.5,0.5,1.0,0.5,2.0,2.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,Sand Force,None,0,Mineral,No Eggs Discovered,1,50,145,0.344828
226,Snubbull,Fairy,Fairy,Rattled,2,60.0,80.0,50.0,40.0,40.0,30.0,300.0,7.8,0.6,0.25,Fairy Pokémon,190,20,Fast,70,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Intimidate,Run Away,0,Field,Fairy,0,21,137,0.153285
227,Granbull,Fairy,Fairy,Rattled,2,90.0,120.0,75.0,60.0,60.0,45.0,450.0,48.7,1.4,0.25,Fairy Pokémon,75,20,Fast,70,0,0,0,2,2,Snubbull,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Intimidate,Quick Feet,0,Field,Fairy,0,35,119,0.294118
228,Qwilfish,Water,Poison,Intimidate,2,65.0,95.0,85.0,55.0,55.0,85.0,440.0,3.9,0.5,0.5,Balloon Pokémon,45,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5,Poison Point,Swift Swim,0,Water 2,No Eggs Discovered,0,104,150,0.693333
229,Scizor,Bug,Steel,Light Metal,2,70.0,130.0,100.0,55.0,80.0,65.0,500.0,118.0,1.8,0.5,Pincer Pokémon,25,25,Medium Fast,70,0,0,1,2,2,Scyther,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5,Swarm,Technician,0,Bug,No Eggs Discovered,0,76,125,0.608
230,Mega Scizor,Bug,Steel,None,2,70.0,150.0,140.0,65.0,100.0,75.0,600.0,125.0,2.0,0.5,Pincer Pokémon,25,25,Medium Fast,70,0,0,1,2,2,Scizor,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5,Technician,None,0,Bug,No Eggs Discovered,1,77,140,0.55
231,Shuckle,Bug,Rock,Contrary,2,20.0,10.0,230.0,10.0,230.0,5.0,505.0,20.5,0.6,0.5,Mold Pokémon,190,20,Medium Slow,70,0,0,0,1,1,No Preevolution,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sturdy,Gluttony,0,Bug,No Eggs Discovered,0,0,0,0.0
232,Heracross,Bug,Fighting,Moxie,2,80.0,125.0,75.0,40.0,95.0,85.0,500.0,54.0,1.5,0.5,Single Horn Pokémon,45,25,Slow,70,0,0,1,1,1,No Preevolution,1.0,0.5,4.0,1.0,0.5,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,Swarm,Guts,0,Bug,No Eggs Discovered,0,94,136,0.691176
233,Mega Heracross,Bug,Fighting,None,2,80.0,185.0,115.0,40.0,105.0,75.0,600.0,62.5,1.7,0.5,Single Horn Pokémon,45,25,Slow,70,0,0,1,1,1,Heracross,1.0,0.5,4.0,1.0,0.5,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,Skill Link,None,0,Bug,No Eggs Discovered,1,81,130,0.623077
234,Sneasel,Dark,Ice,Pickpocket,2,55.0,95.0,55.0,35.0,75.0,115.0,430.0,28.0,0.9,0.5,Sharp Claw Pokémon,60,20,Medium Slow,35,0,0,0,1,2,No Preevolution,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,2.0,Inner Focus,Keen Eye,0,Field,No Eggs Discovered,0,106,113,0.938053
235,Teddiursa,Normal,Normal,Honey Gather,2,60.0,80.0,50.0,50.0,50.0,40.0,330.0,8.8,0.6,0.5,Little Bear Pokémon,120,20,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Pickup,Quick Feet,0,Field,No Eggs Discovered,0,26,109,0.238532
236,Ursaring,Normal,Normal,Unnerve,2,90.0,130.0,75.0,75.0,75.0,55.0,500.0,125.8,1.8,0.5,Hibernator Pokémon,60,20,Medium Fast,70,0,0,0,2,3,Teddiursa,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Guts,Quick Feet,0,Field,No Eggs Discovered,0,0,0,0.0
237,Slugma,Fire,Fire,Weak Armor,2,40.0,40.0,40.0,70.0,40.0,20.0,250.0,35.0,0.7,0.5,Lava Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Magma Armor,Flame Body,0,Amorphous,No Eggs Discovered,0,4,123,0.03252
238,Magcargo,Fire,Rock,Weak Armor,2,60.0,50.0,120.0,90.0,80.0,30.0,430.0,55.0,0.8,0.5,Lava Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Slugma,0.5,2.0,0.5,0.5,4.0,2.0,0.5,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,Magma Armor,Flame Body,0,Amorphous,No Eggs Discovered,0,9,124,0.072581
239,Swinub,Ice,Ground,Thick Fat,2,50.0,50.0,40.0,30.0,30.0,50.0,250.0,6.5,0.4,0.5,Pig Pokémon,225,20,Slow,70,0,0,0,1,3,No Preevolution,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,Oblivious,Snow Cloak,0,Field,No Eggs Discovered,0,37,133,0.278195
240,Piloswine,Ice,Ground,Thick Fat,2,100.0,100.0,80.0,60.0,60.0,50.0,450.0,55.8,1.1,0.5,Swine Pokémon,75,20,Slow,70,0,0,0,2,3,Swinub,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,Oblivious,Snow Cloak,0,Field,No Eggs Discovered,0,36,118,0.305085
241,Corsola,Water,Rock,Regenerator,2,65.0,55.0,95.0,65.0,95.0,35.0,410.0,5.0,0.6,0.25,Coral Pokémon,60,20,Fast,70,0,0,0,1,2,No Preevolution,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,Hustle,Natural Cure,0,Water 1,Water 3,0,28,139,0.201439
242,Remoraid,Water,Water,Moody,2,35.0,65.0,35.0,65.0,35.0,65.0,300.0,12.0,0.6,0.5,Jet Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Hustle,Sniper,0,Water 1,Water 2,0,69,148,0.466216
243,Octillery,Water,Water,Moody,2,75.0,105.0,75.0,105.0,75.0,45.0,480.0,28.5,0.9,0.5,Jet Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Remoraid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Suction Cups,Sniper,0,Water 1,Water 2,0,37,113,0.327434
244,Delibird,Ice,Flying,Insomnia,2,45.0,55.0,45.0,65.0,45.0,75.0,330.0,16.0,0.9,0.5,Delivery Pokémon,45,20,Fast,70,0,0,0,1,1,No Preevolution,1.0,1.0,1.0,1.0,0.0,4.0,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,Vital Spirit,Hustle,0,Water 1,Field,0,74,130,0.569231
245,Mantine,Water,Flying,Water Veil,2,85.0,40.0,70.0,80.0,140.0,70.0,485.0,220.0,2.1,0.5,Kite Pokémon,25,25,Slow,70,0,0,0,2,2,Mantyke,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,Swift Swim,Water Absorb,0,Water 1,No Eggs Discovered,0,78,131,0.59542
246,Skarmory,Steel,Flying,Weak Armor,2,65.0,80.0,140.0,40.0,70.0,70.0,465.0,50.5,1.7,0.5,Armor Bird Pokémon,25,25,Slow,70,0,0,0,1,1,No Preevolution,0.5,1.0,0.5,0.0,0.0,1.0,0.25,1.0,0.5,2.0,1.0,0.25,2.0,0.5,1.0,0.5,1.0,0.5,Keen Eye,Sturdy,0,Flying,No Eggs Discovered,0,70,134,0.522388
247,Houndour,Dark,Fire,Unnerve,2,45.0,60.0,30.0,80.0,50.0,65.0,330.0,10.8,0.6,0.5,Dark Pokémon,120,20,Slow,35,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,Early Bird,Flash Fire,0,Field,No Eggs Discovered,0,58,126,0.460317
248,Houndoom,Dark,Fire,Unnerve,2,75.0,90.0,50.0,110.0,80.0,95.0,500.0,35.0,1.4,0.5,Dark Pokémon,45,20,Slow,35,0,0,1,2,2,Houndour,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,Early Bird,Flash Fire,0,Field,No Eggs Discovered,0,111,139,0.798561
249,Mega Houndoom,Dark,Fire,None,2,75.0,90.0,90.0,140.0,90.0,115.0,600.0,49.5,1.9,0.5,Dark Pokémon,45,20,Slow,35,0,0,1,2,2,Houndoom,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,Solar Power,None,0,Field,No Eggs Discovered,1,128,135,0.948148
250,Kingdra,Water,Dragon,Damp,2,75.0,95.0,95.0,95.0,95.0,85.0,540.0,152.0,1.8,0.5,Dragon Pokémon,45,20,Medium Fast,70,0,0,0,3,3,Seadra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Swift Swim,Sniper,0,Water 1,Dragon,0,88,136,0.647059
251,Phanpy,Ground,Ground,Sand Veil,2,90.0,60.0,60.0,40.0,40.0,40.0,330.0,33.5,0.5,0.5,Long Nose Pokémon,120,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Pickup,None,0,Field,No Eggs Discovered,0,39,132,0.295455
252,Donphan,Ground,Ground,Sand Veil,2,90.0,120.0,120.0,60.0,60.0,50.0,500.0,120.0,1.1,0.5,Armor Pokémon,60,20,Medium Fast,70,0,0,0,2,2,Phanpy,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sturdy,None,0,Field,No Eggs Discovered,0,48,136,0.352941
253,Porygon2,Normal,Normal,Analytic,2,85.0,80.0,90.0,105.0,95.0,60.0,515.0,32.5,0.6,0.5,Virtual Pokémon,45,20,Medium Fast,70,0,0,0,2,3,Porygon,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Trace,Download,1,Mineral,No Eggs Discovered,0,53,108,0.490741
254,Stantler,Normal,Normal,Sap Sipper,2,73.0,95.0,62.0,85.0,65.0,85.0,465.0,71.2,1.4,0.5,Big Horn Pokémon,45,20,Slow,70,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Intimidate,Frisk,0,Field,No Eggs Discovered,0,90,135,0.666667
255,Smeargle,Normal,Normal,Moody,2,55.0,20.0,35.0,20.0,45.0,75.0,250.0,58.0,1.2,0.5,Painter Pokémon,45,20,Fast,70,0,0,0,1,1,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Own Tempo,Technician,0,Field,No Eggs Discovered,0,52,138,0.376812
256,Tyrogue,Fighting,Fighting,Vital Spirit,2,35.0,35.0,35.0,35.0,35.0,35.0,210.0,21.0,0.7,1.0,Scuffle Pokémon,75,25,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,Guts,Steadfast,0,No Eggs Discovered,No Eggs Discovered,0,17,127,0.133858
257,Hitmontop,Fighting,Fighting,Steadfast,2,50.0,95.0,95.0,35.0,110.0,70.0,455.0,48.0,1.4,1.0,Handstand Pokémon,45,25,Medium Fast,70,0,0,0,2,2,Tyrogue,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,Intimidate,Technician,0,Human-Like,No Eggs Discovered,0,72,139,0.517986
258,Smoochum,Ice,Psychic,Hydration,2,45.0,30.0,15.0,85.0,65.0,65.0,305.0,6.0,0.4,0.0,Kiss Pokémon,45,25,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,Oblivious,Forewarn,0,No Eggs Discovered,No Eggs Discovered,0,46,127,0.362205
259,Elekid,Electric,Electric,Vital Spirit,2,45.0,63.0,37.0,65.0,55.0,95.0,360.0,23.5,0.6,0.75,Electric Pokémon,45,25,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Static,None,0,No Eggs Discovered,No Eggs Discovered,0,116,144,0.805556
260,Magby,Fire,Fire,Vital Spirit,2,45.0,75.0,37.0,70.0,55.0,83.0,365.0,21.4,0.7,0.75,Live Coal Pokémon,45,25,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Flame Body,None,0,No Eggs Discovered,No Eggs Discovered,0,81,131,0.618321
261,Miltank,Normal,Normal,Sap Sipper,2,95.0,80.0,105.0,40.0,70.0,100.0,490.0,75.5,1.2,0.0,Milk Cow Pokémon,45,20,Slow,70,0,0,0,1,1,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Thick Fat,Scrappy,0,Field,No Eggs Discovered,0,103,128,0.804688
262,Blissey,Normal,Normal,Healer,2,255.0,10.0,10.0,75.0,135.0,55.0,540.0,46.8,1.5,0.0,Happiness Pokémon,30,40,Fast,140,0,0,0,3,3,Chansey,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Natural Cure,Serene Grace,0,Fairy,No Eggs Discovered,0,40,128,0.3125
263,Raikou,Electric,Electric,Inner Focus,2,90.0,85.0,75.0,115.0,100.0,115.0,580.0,178.0,1.9,0.5,Thunder Pokémon,3,80,Slow,35,1,0,0,1,1,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Pressure,None,1,No Eggs Discovered,No Eggs Discovered,0,91,97,0.938144
264,Entei,Fire,Fire,Inner Focus,2,115.0,115.0,85.0,90.0,75.0,100.0,580.0,198.0,2.1,0.5,Volcano Pokémon,3,80,Slow,35,1,0,0,1,1,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Pressure,None,1,No Eggs Discovered,No Eggs Discovered,0,109,134,0.813433
265,Suicune,Water,Water,Inner Focus,2,100.0,75.0,115.0,90.0,115.0,85.0,580.0,187.0,2.0,0.5,Aurora Pokémon,3,80,Slow,35,1,0,0,1,1,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Pressure,None,1,No Eggs Discovered,No Eggs Discovered,0,78,121,0.644628
266,Larvitar,Rock,Ground,Sand Veil,2,50.0,64.0,50.0,45.0,50.0,41.0,300.0,72.0,0.6,0.5,Rock Skin Pokémon,45,40,Slow,35,0,0,0,1,3,No Preevolution,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,Guts,None,0,Monster,No Eggs Discovered,0,25,110,0.227273
267,Pupitar,Rock,Ground,None,2,70.0,84.0,70.0,65.0,70.0,51.0,410.0,152.0,1.2,0.5,Hard Shell Pokémon,45,40,Slow,35,0,0,0,2,3,Larvitar,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,Shed Skin,None,0,Monster,No Eggs Discovered,0,41,139,0.294964
268,Tyranitar,Rock,Dark,Unnerve,2,100.0,134.0,110.0,95.0,100.0,61.0,600.0,202.0,2.0,0.5,Armor Pokémon,45,40,Slow,35,0,0,1,3,3,Pupitar,0.5,4.0,0.5,0.5,2.0,1.0,2.0,0.5,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.5,2.0,Sand Stream,None,0,Monster,No Eggs Discovered,0,56,138,0.405797
269,Mega Tyranitar,Rock,Dark,None,2,100.0,164.0,150.0,95.0,120.0,71.0,700.0,255.0,2.5,0.5,Armor Pokémon,45,40,Slow,35,0,0,1,3,3,Tyranitar,0.5,4.0,0.5,0.5,2.0,1.0,2.0,0.5,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.5,2.0,Sand Stream,None,0,Monster,No Eggs Discovered,1,70,124,0.564516
270,Lugia,Psychic,Flying,Multiscale,2,106.0,90.0,130.0,90.0,154.0,110.0,680.0,216.0,5.2,0.5,Diving Pokémon,3,120,Slow,0,1,0,0,1,1,No Preevolution,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,Pressure,None,1,No Eggs Discovered,No Eggs Discovered,0,107,123,0.869919
271,Ho-oh,Fire,Flying,Regenerator,2,106.0,130.0,90.0,110.0,154.0,90.0,680.0,199.0,3.8,0.5,Rainbow Pokémon,3,120,Slow,0,1,0,0,1,1,No Preevolution,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,Pressure,None,1,No Eggs Discovered,No Eggs Discovered,0,77,107,0.719626
272,Celebi,Psychic,Grass,None,2,100.0,100.0,100.0,100.0,100.0,100.0,600.0,5.0,0.6,0.5,Time Travel Pokémon,45,120,Medium Slow,100,0,1,0,1,1,No Preevolution,1.0,0.5,2.0,2.0,0.5,1.0,4.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,1.0,Natural Cure,None,1,No Eggs Discovered,No Eggs Discovered,0,111,133,0.834586
273,Treecko,Grass,Grass,Unburden,3,40.0,45.0,35.0,65.0,55.0,70.0,310.0,5.0,0.5,0.875,Wood Gecko Pokémon,45,20,Medium Slow,70,0,0,0,1,3,No Preevolution,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,Overgrow,None,0,Monster,Dragon,0,52,116,0.448276
274,Grovyle,Grass,Grass,Unburden,3,50.0,65.0,45.0,85.0,65.0,95.0,405.0,21.6,0.9,0.875,Wood Gecko Pokémon,45,20,Medium Slow,70,0,0,0,2,3,Treecko,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,Overgrow,None,0,Monster,Dragon,0,76,105,0.72381
275,Sceptile,Grass,Grass,Unburden,3,70.0,85.0,65.0,105.0,85.0,120.0,530.0,52.2,1.7,0.875,Forest Pokémon,45,20,Medium Slow,70,0,0,1,3,3,Grovyle,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,Overgrow,None,0,Monster,Dragon,0,113,122,0.92623
