First_pokemon,Second_pokemon,Winner,Name_P1,Type 1_P1,Type 2_P1,Type_P1,Abilities_P1,HiddenAbility_P1,Generation_P1,Hp_P1,Attack_P1,Defense_P1,SpecialAttack_P1,SpecialDefense_P1,Speed_P1,TotalStats_P1,Weight_P1,Height_P1,GenderProbM_P1,Category_P1,CatchRate_P1,EggCycles_P1,EggGroup_P1,LevelingRate_P1,BaseFriendship_P1,IsLegendary_P1,IsMythical_P1,IsUltraBeast_P1,HasMega_P1,EvoStage_P1,TotalEvoStages_P1,PreevoName_P1,DamageFromNormal_P1,DamageFromFighting_P1,DamageFromFlying_P1,DamageFromPoison_P1,DamageFromGround_P1,DamageFromRock_P1,DamageFromBug_P1,DamageFromGhost_P1,DamageFromSteel_P1,DamageFromFire_P1,DamageFromWater_P1,DamageFromGrass_P1,DamageFromElectric_P1,DamageFromPsychic_P1,DamageFromIce_P1,DamageFromDragon_P1,DamageFromDark_P1,DamageFromFairy_P1,Name_P2,Type 1_P2,Type 2_P2,Type_P2,Abilities_P2,HiddenAbility_P2,Generation_P2,Hp_P2,Attack_P2,Defense_P2,SpecialAttack_P2,SpecialDefense_P2,Speed_P2,TotalStats_P2,Weight_P2,Height_P2,GenderProbM_P2,Category_P2,CatchRate_P2,EggCycles_P2,EggGroup_P2,LevelingRate_P2,BaseFriendship_P2,IsLegendary_P2,IsMythical_P2,IsUltraBeast_P2,HasMega_P2,EvoStage_P2,TotalEvoStages_P2,PreevoName_P2,DamageFromNormal_P2,DamageFromFighting_P2,DamageFromFlying_P2,DamageFromPoison_P2,DamageFromGround_P2,DamageFromRock_P2,DamageFromBug_P2,DamageFromGhost_P2,DamageFromSteel_P2,DamageFromFire_P2,DamageFromWater_P2,DamageFromGrass_P2,DamageFromElectric_P2,DamageFromPsychic_P2,DamageFromIce_P2,DamageFromDragon_P2,DamageFromDark_P2,DamageFromFairy_P2
247,86,247,Houndour,Dark,Fire,"['Dark', 'Fire']","['Early Bird', 'Flash Fire']",['Unnerve'],II,45.0,60.0,30.0,80.0,50.0,65.0,330.0,10.8,0.6,0.5,Dark Pokémon,120.0,20.0,['Field'],"Slow
",35.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,Slowpoke,Water,Psychic,"['Water', 'Psychic']","['Oblivious', 'Own Tempo']",['Regenerator'],I,90.0,65.0,65.0,40.0,40.0,15.0,315.0,36.0,1.2,0.5,Dopey Pokémon,190.0,20.0,['Monster' 'Water 1'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0
240,711,711,Piloswine,Ice,Ground,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak']",['Thick Fat'],II,100.0,100.0,80.0,60.0,60.0,50.0,450.0,55.8,1.1,0.5,Swine Pokémon,75.0,20.0,['Field'],"Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Swinub,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,Kyurem,Dragon,Ice,"['Dragon', 'Ice']",['Pressure'],[],V,125.0,130.0,90.0,130.0,90.0,95.0,700.0,325.0,3.0,-,Boundary Pokémon,3.0,120.0,-,"Slow
",0.0,1.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,1.0,2.0,1.0,2.0
306,760,306,Gardevoir,Psychic,Fairy,"['Psychic', 'Fairy']","['Synchronize', 'Trace']",['Telepathy'],III,68.0,65.0,65.0,125.0,115.0,80.0,618.0,48.4,1.6,0.5,Embrace Pokémon,45.0,20.0,['Human-Like' 'Amorphous'],"Slow
",35.0,0.0,0.0,0.0,1.0,3.0,3.0,Kirlia,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,Barbaracle,Rock,Water,"['Rock', 'Water']","['Tough Claws', 'Sniper']",['Pickpocket'],VI,72.0,105.0,115.0,54.0,86.0,68.0,500.0,96.0,1.3,0.5,Collective Pokémon,45.0,20.0,['Water 3'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Binacle,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0
652,504,504,Foongus,Grass,Poison,"['Grass', 'Poison']",['Effect Spore'],['Regenerator'],V,69.0,55.0,45.0,55.0,55.0,15.0,294.0,1.0,0.2,0.5,Mushroom Pokémon,190.0,20.0,['Grass'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Croagunk,Poison,Fighting,"['Poison', 'Fighting']","['Anticipation', 'Dry Skin']",['Poison Touch'],IV,48.0,61.0,40.0,61.0,40.0,50.0,300.0,23.0,0.7,0.5,Toxic Mouth Pokémon,140.0,10.0,['Human-Like'],"Medium Fast
",100.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,2.0,0.5,2.0,0.5,0.25,1.0,1.0,1.0,1.0,0.5,1.0,4.0,1.0,1.0,0.5,1.0
54,200,200,Venonat,Bug,Poison,"['Bug', 'Poison']","['Compound Eyes', 'Tinted Lens']",['Run Away'],I,60.0,55.0,50.0,40.0,55.0,45.0,305.0,30.0,1.0,0.5,Insect Pokémon,190.0,20.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Azumarill,Water,Fairy,"['Water', 'Fairy']","['Thick Fat', 'Huge Power']",['Sap Sipper'],II,100.0,50.0,80.0,60.0,80.0,50.0,420.0,28.5,0.8,0.5,Aqua Rabbit Pokémon,75.0,10.0,['Water 1' 'Fairy'],"Fast
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Marill,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.0,0.5,1.0
505,503,503,Toxicroak,Poison,Fighting,"['Poison', 'Fighting']","['Anticipation', 'Dry Skin']",['Poison Touch'],IV,83.0,106.0,65.0,86.0,65.0,85.0,490.0,44.4,1.3,0.5,Toxic Mouth Pokémon,75.0,20.0,['Human-Like'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Croagunk,1.0,0.5,2.0,0.5,2.0,0.5,0.25,1.0,1.0,1.0,1.0,0.5,1.0,4.0,1.0,1.0,0.5,1.0,Drapion,Poison,Dark,"['Poison', 'Dark']","['Battle Armor', 'Sniper']",['Keen Eye'],IV,70.0,90.0,110.0,60.0,75.0,95.0,500.0,61.5,1.3,0.5,Ogre Scorpion Pokémon,45.0,20.0,['Bug' 'Water 3'],"Slow
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Skorupi,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0
643,17,643,Swanna,Water,Flying,"['Water', 'Flying']","['Keen Eye', 'Big Pecks']",['Hydration'],V,75.0,87.0,63.0,87.0,63.0,98.0,473.0,24.2,1.3,0.5,White Bird Pokémon,45.0,20.0,['Water 1' 'Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Ducklett,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,Weedle,Bug,Poison,"['Bug', 'Poison']",['Shield Dust'],['Run Away'],I,40.0,35.0,30.0,20.0,20.0,50.0,195.0,3.2,0.3,0.5,Hairy Bug Pokémon,255.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
411,767,767,Beldum,Steel,Psychic,"['Steel', 'Psychic']",['Clear Body'],['Light Metal'],III,40.0,55.0,80.0,35.0,60.0,30.0,300.0,95.2,0.6,-,Iron Ball Pokémon,3.0,40.0,['Mineral'],"Slow
",35.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,0.5,1.0,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,0.5,2.0,0.5,Tyrunt,Rock,Dragon,"['Rock', 'Dragon']",['Strong Jaw'],['Sturdy'],VI,58.0,89.0,77.0,45.0,45.0,48.0,362.0,26.0,0.8,0.875,Royal Heir Pokémon,45.0,30.0,['Monster' 'Dragon'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.25,1.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0
293,181,181,Dustox,Bug,Poison,"['Bug', 'Poison']",['Shield Dust'],['Compound Eyes'],III,60.0,50.0,70.0,50.0,90.0,65.0,385.0,31.6,1.2,0.5,Poison Moth Pokémon,45.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Cascoon,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Ledian,Bug,Flying,"['Bug', 'Flying']","['Swarm', 'Early Bird']",['Iron Fist'],II,55.0,35.0,50.0,55.0,110.0,85.0,390.0,35.6,1.4,0.5,Five Star Pokémon,90.0,15.0,['Bug'],"Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Ledyba,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
626,642,626,Tirtouga,Water,Rock,"['Water', 'Rock']","['Solid Rock', 'Sturdy']",['Swift Swim'],V,54.0,78.0,103.0,53.0,45.0,22.0,355.0,16.5,0.7,0.875,Prototurtle Pokémon,45.0,30.0,['Water 1' 'Water 3'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,Ducklett,Water,Flying,"['Water', 'Flying']","['Keen Eye', 'Big Pecks']",['Hydration'],V,62.0,44.0,50.0,44.0,50.0,55.0,305.0,5.5,0.5,0.5,Water Bird Pokémon,190.0,20.0,['Water 1' 'Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0
452,214,214,Budew,Grass,Poison,"['Grass', 'Poison']","['Natural Cure', 'Poison Point']",['Leaf Guard'],IV,40.0,30.0,35.0,50.0,70.0,55.0,280.0,1.2,0.2,0.5,Bud Pokémon,255.0,20.0,-,"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Murkrow,Dark,Flying,"['Dark', 'Flying']","['Insomnia', 'Super Luck']",['Prankster'],II,60.0,85.0,42.0,85.0,42.0,91.0,405.0,2.1,0.5,0.5,Darkness Pokémon,30.0,20.0,['Flying'],"Medium Slow
",35.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.0,2.0,1.0,0.5,2.0
143,240,143,Lapras,Water,Ice,"['Water', 'Ice']","['Water Absorb', 'Shell Armor']",['Hydration'],I,130.0,85.0,80.0,85.0,95.0,60.0,535.0,220.0,2.5,0.5,Transport Pokémon,45.0,40.0,['Monster' 'Water 1'],"Slow
",70.0,0.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,1.0,1.0,1.0,Piloswine,Ice,Ground,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak']",['Thick Fat'],II,100.0,100.0,80.0,60.0,60.0,50.0,450.0,55.8,1.1,0.5,Swine Pokémon,75.0,20.0,['Field'],"Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Swinub,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
50,779,50,Gloom,Grass,Poison,"['Grass', 'Poison']",['Chlorophyll'],['Stench'],I,60.0,65.0,70.0,85.0,75.0,40.0,395.0,8.6,0.8,0.5,Weed Pokémon,120.0,20.0,['Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Oddish,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Phantump,Ghost,Grass,"['Ghost', 'Grass']","['Natural Cure', 'Frisk']",['Harvest'],VI,43.0,70.0,48.0,50.0,60.0,38.0,309.0,7.0,0.4,0.5,Stump Pokémon,120.0,20.0,['Grass' 'Amorphous'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.0,0.0,2.0,1.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,2.0,1.0
345,401,401,Roselia,Grass,Poison,"['Grass', 'Poison']","['Natural Cure', 'Poison Point']",['Leaf Guard'],III,50.0,60.0,45.0,100.0,80.0,65.0,400.0,2.0,0.3,0.5,Thorn Pokémon,150.0,20.0,['Fairy' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Budew,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Walrein,Ice,Water,"['Ice', 'Water']","['Thick Fat', 'Ice Body']",['Oblivious'],III,110.0,80.0,90.0,95.0,90.0,65.0,530.0,150.6,1.4,0.5,Ice Break Pokémon,45.0,20.0,['Water 1' 'Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Sealeo,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,1.0,1.0,1.0
588,50,588,Swoobat,Psychic,Flying,"['Psychic', 'Flying']","['Unaware', 'Klutz']",['Simple'],V,67.0,57.0,55.0,77.0,55.0,114.0,425.0,10.5,0.9,0.5,Courting Pokémon,45.0,15.0,['Field' 'Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Woobat,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,Gloom,Grass,Poison,"['Grass', 'Poison']",['Chlorophyll'],['Stench'],I,60.0,65.0,70.0,85.0,75.0,40.0,395.0,8.6,0.8,0.5,Weed Pokémon,120.0,20.0,['Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Oddish,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
628,93,93,Archen,Rock,Flying,"['Rock', 'Flying']",['Defeatist'],[],V,55.0,112.0,45.0,74.0,45.0,70.0,401.0,9.5,0.5,0.875,First Bird Pokémon,45.0,30.0,['Flying' 'Water 3'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.5,1.0,0.5,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,Dodrio,Normal,Flying,"['Normal', 'Flying']","['Run Away', 'Early Bird']",['Tangled Feet'],I,60.0,110.0,70.0,60.0,60.0,110.0,470.0,85.2,1.8,0.5,Triple Bird Pokémon,45.0,20.0,['Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Doduo,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
68,345,68,Poliwrath,Water,Fighting,"['Water', 'Fighting']","['Water Absorb', 'Damp']",['Swift Swim'],I,90.0,95.0,95.0,70.0,90.0,70.0,510.0,54.0,1.3,0.5,Tadpole Pokémon,45.0,20.0,['Water 1'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Poliwhirl,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,1.0,0.5,2.0,Roselia,Grass,Poison,"['Grass', 'Poison']","['Natural Cure', 'Poison Point']",['Leaf Guard'],III,50.0,60.0,45.0,100.0,80.0,65.0,400.0,2.0,0.3,0.5,Thorn Pokémon,150.0,20.0,['Fairy' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Budew,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
534,304,534,Wash Rotom,Electric,Water,"['Electric', 'Water']",['Levitate'],[],IV,50.0,65.0,107.0,105.0,107.0,86.0,520.0,0.3,0.3,-,Plasma Pokémon,45.0,20.0,['Amorphous'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,Ralts,Psychic,Fairy,"['Psychic', 'Fairy']","['Synchronize', 'Trace']",['Telepathy'],III,28.0,25.0,25.0,45.0,35.0,40.0,198.0,6.6,0.4,0.5,Feeling Pokémon,235.0,20.0,['Human-Like' 'Amorphous'],"Slow
",35.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
203,353,203,Hoppip,Grass,Flying,"['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard']",['Infiltrator'],II,35.0,35.0,40.0,35.0,55.0,50.0,250.0,0.5,0.4,0.5,Cottonweed Pokémon,255.0,20.0,['Fairy' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.5,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.5,0.25,1.0,1.0,4.0,1.0,1.0,1.0,Numel,Fire,Ground,"['Fire', 'Ground']","['Oblivious', 'Simple']",['Own Tempo'],III,60.0,60.0,40.0,65.0,45.0,35.0,305.0,24.0,0.7,0.5,Numb Pokémon,255.0,20.0,['Field'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
353,303,303,Numel,Fire,Ground,"['Fire', 'Ground']","['Oblivious', 'Simple']",['Own Tempo'],III,60.0,60.0,40.0,65.0,45.0,35.0,305.0,24.0,0.7,0.5,Numb Pokémon,255.0,20.0,['Field'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,Pelipper,Water,Flying,"['Water', 'Flying']","['Keen Eye', 'Drizzle']",['Rain Dish'],III,60.0,50.0,100.0,95.0,70.0,65.0,440.0,28.0,1.2,0.5,Water Bird Pokémon,45.0,20.0,['Water 1' 'Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Wingull,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0
770,86,770,Aurorus,Rock,Ice,"['Rock', 'Ice']",['Refrigerate'],['Snow Warning'],VI,123.0,77.0,72.0,99.0,92.0,58.0,521.0,225.0,2.7,0.875,Tundra Pokémon,45.0,30.0,['Monster'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Amaura,0.5,4.0,0.5,0.5,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,Slowpoke,Water,Psychic,"['Water', 'Psychic']","['Oblivious', 'Own Tempo']",['Regenerator'],I,90.0,65.0,65.0,40.0,40.0,15.0,315.0,36.0,1.2,0.5,Dopey Pokémon,190.0,20.0,['Monster' 'Water 1'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0
651,721,721,Escavalier,Bug,Steel,"['Bug', 'Steel']","['Swarm', 'Shell Armor']",['Overcoat'],V,70.0,135.0,105.0,60.0,105.0,20.0,495.0,33.0,1.0,0.5,Cavalry Pokémon,75.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Karrablast,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5,Chesnaught,Grass,Fighting,"['Grass', 'Fighting']",['Overgrow'],['Bulletproof'],VI,88.0,107.0,122.0,74.0,75.0,64.0,530.0,90.0,1.6,0.875,Spiny Armor Pokémon,45.0,20.0,['Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Quilladin,1.0,1.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,2.0
527,365,527,Gallade,Psychic,Fighting,"['Psychic', 'Fighting']","['Steadfast', 'Sharpness']",['Justified'],IV,68.0,125.0,65.0,65.0,115.0,80.0,618.0,52.0,1.6,1.0,Blade Pokémon,45.0,20.0,['Human-Like' 'Amorphous'],"Slow
",35.0,0.0,0.0,0.0,1.0,3.0,3.0,Kirlia,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Swablu,Normal,Flying,"['Normal', 'Flying']",['Natural Cure'],['Cloud Nine'],III,45.0,40.0,60.0,40.0,75.0,50.0,310.0,1.2,0.4,0.5,Cotton Bird Pokémon,255.0,20.0,['Flying' 'Dragon'],"Erratic
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
47,520,520,Zubat,Poison,Flying,"['Poison', 'Flying']",['Inner Focus'],['Infiltrator'],I,40.0,45.0,35.0,30.0,40.0,55.0,245.0,7.5,0.8,0.5,Bat Pokémon,255.0,15.0,['Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,Togekiss,Fairy,Flying,"['Fairy', 'Flying']","['Hustle', 'Serene Grace']",['Super Luck'],IV,85.0,50.0,95.0,120.0,115.0,80.0,545.0,38.0,1.5,0.875,Jubilee Pokémon,30.0,10.0,['Flying' 'Fairy'],"Fast
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Togetic,1.0,0.25,1.0,2.0,0.0,2.0,0.25,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,0.0,0.5,1.0
411,796,796,Beldum,Steel,Psychic,"['Steel', 'Psychic']",['Clear Body'],['Light Metal'],III,40.0,55.0,80.0,35.0,60.0,30.0,300.0,95.2,0.6,-,Iron Ball Pokémon,3.0,40.0,['Mineral'],"Slow
",35.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,0.5,1.0,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,0.5,2.0,0.5,Diancie,Rock,Fairy,"['Rock', 'Fairy']",['Clear Body'],[],VI,50.0,100.0,150.0,100.0,150.0,50.0,700.0,8.8,0.7,-,Jewel Pokémon,3.0,25.0,-,"Slow
",70.0,0.0,1.0,0.0,1.0,1.0,1.0,No Preevolution,0.5,1.0,0.5,1.0,2.0,1.0,0.5,1.0,4.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0
18,228,228,Kakuna,Bug,Poison,"['Bug', 'Poison']",['Shed Skin'],[],I,45.0,25.0,50.0,25.0,25.0,35.0,205.0,10.0,0.6,0.5,Cocoon Pokémon,120.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Weedle,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Qwilfish,Water,Poison,"['Water', 'Poison']","['Poison Point', 'Swift Swim']",['Intimidate'],II,65.0,95.0,85.0,55.0,55.0,85.0,440.0,3.9,0.5,0.5,Balloon Pokémon,45.0,20.0,['Water 2'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5
68,54,68,Poliwrath,Water,Fighting,"['Water', 'Fighting']","['Water Absorb', 'Damp']",['Swift Swim'],I,90.0,95.0,95.0,70.0,90.0,70.0,510.0,54.0,1.3,0.5,Tadpole Pokémon,45.0,20.0,['Water 1'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Poliwhirl,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,1.0,0.5,2.0,Venonat,Bug,Poison,"['Bug', 'Poison']","['Compound Eyes', 'Tinted Lens']",['Run Away'],I,60.0,55.0,50.0,40.0,55.0,45.0,305.0,30.0,1.0,0.5,Insect Pokémon,190.0,20.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
