"DexNumber","Name","Type","Abilities","HiddenAbility","Generation","Hp","Attack","Defense","SpecialAttack","SpecialDefense","Speed","TotalStats","Weight","Height","GenderProbM","Category","CatchRate","EggCycles","EggGroup","LevelingRate","BaseFriendship","IsLegendary","IsMythical","IsUltraBeast","HasMega","EvoStage","TotalEvoStages","PreevoName","DamageFromNormal","DamageFromFighting","DamageFromFlying","DamageFromPoison","DamageFromGround","DamageFromRock","DamageFromBug","DamageFromGhost","DamageFromSteel","DamageFromFire","DamageFromWater","DamageFromGrass","DamageFromElectric","DamageFromPsychic","DamageFromIce","DamageFromDragon","DamageFromDark","DamageFromFairy"
251,"Celebi","['Psychic', 'Grass']","['Natural Cure']","[]","II",100,100,100,100,100,100,600,5.0,0.6,"-","Time Travel Pokémon","45","120","-","Medium Slow
","100
",0,1,0,0,1,1,"No Preevolution",1.0,0.5,2.0,2.0,0.5,1.0,4.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,1.0
252,"Treecko","['Grass']","['Overgrow']","['Unburden']","III",40,45,35,65,55,70,310,5.0,0.5,0.875,"Wood Gecko Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
253,"Grovyle","['Grass']","['Overgrow']","['Unburden']","III",50,65,45,85,65,95,405,21.6,0.9,0.875,"Wood Gecko Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
",0,0,0,0,2,3,"Treecko",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
254,"Sceptile","['Grass']","['Overgrow']","['Unburden']","III",70,85,65,105,85,120,630,52.2,1.7,0.875,"Forest Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
",0,0,0,1,3,3,"Grovyle",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
255,"Torchic","['Fire']","['Blaze']","['Speed Boost']","III",45,60,40,70,50,45,310,2.5,0.4,0.875,"Chick Pokémon","45","20",['Field'],"Medium Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
256,"Combusken","['Fire', 'Fighting']","['Blaze']","['Speed Boost']","III",60,85,60,85,60,55,405,19.5,0.9,0.875,"Young Fowl Pokémon","45","20",['Field'],"Medium Slow
","70
",0,0,0,0,2,3,"Torchic",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,0.5,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.5,1.0
257,"Blaziken","['Fire', 'Fighting']","['Blaze']","['Speed Boost']","III",80,120,70,110,70,80,630,52.0,1.9,0.875,"Blaze Pokémon","45","20",['Field'],"Medium Slow
","70
",0,0,0,1,3,3,"Combusken",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,0.5,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.5,1.0
258,"Mudkip","['Water']","['Torrent']","['Damp']","III",50,70,50,50,50,40,310,7.6,0.4,0.875,"Mud Fish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
259,"Marshtomp","['Water', 'Ground']","['Torrent']","['Damp']","III",70,85,70,60,70,50,405,28.0,0.7,0.875,"Mud Fish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
",0,0,0,0,2,3,"Mudkip",1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
260,"Swampert","['Water', 'Ground']","['Torrent']","['Damp']","III",100,110,90,85,90,60,635,81.9,1.5,0.875,"Mud Fish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
",0,0,0,1,3,3,"Marshtomp",1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
261,"Poochyena","['Dark']","['Run Away', 'Quick Feet']","['Rattled']","III",35,55,35,30,30,35,220,13.6,0.5,0.5,"Bite Pokémon","255","15",['Field'],"Medium Fast
","70
",0,0,0,0,1,2,"No Preevolution",1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
262,"Mightyena","['Dark']","['Intimidate', 'Quick Feet']","['Moxie']","III",70,90,70,60,60,70,420,37.0,1.0,0.5,"Bite Pokémon","127","15",['Field'],"Medium Fast
","70
",0,0,0,0,2,2,"Poochyena",1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
263,"Zigzagoon","['Normal']","['Pickup', 'Gluttony']","['Quick Feet']","III",38,30,41,30,41,60,240,17.5,0.4,0.5,"Tiny Raccoon Pokémon","255","15",['Field'],"Medium Fast
","70
",0,0,0,0,1,2,"No Preevolution",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
263,"Galarian Zigzagoon","['Dark', 'Normal']","['Pickup', 'Gluttony']","['Quick Feet']","VIII",38,30,41,30,41,60,240,17.5,0.4,0.5,"Tiny Raccoon Pokémon","255","15",['Field'],"Medium Fast
","70
",0,0,0,0,1,3,"No Preevolution",1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
264,"Linoone","['Normal']","['Pickup', 'Gluttony']","['Quick Feet']","III",78,70,61,50,61,100,420,32.5,0.5,0.5,"Rushing Pokémon","90","15",['Field'],"Medium Fast
","70
",0,0,0,0,2,2,"Zigzagoon",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264,"Galarian Linoone","['Dark', 'Normal']","['Pickup', 'Gluttony']","['Quick Feet']","VIII",78,70,61,50,61,100,420,32.5,0.5,0.5,"Rushing Pokémon","90","15",['Field'],"Medium Fast
","70
",0,0,0,0,2,3,"Galarian Zigzagoon",1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
265,"Wurmple","['Bug']","['Shield Dust']","['Run Away']","III",45,45,35,20,30,20,195,3.6,0.3,0.5,"Worm Pokémon","255","15",['Bug'],"Medium Fast
","70
",0,0,0,0,1,3,"No Preevolution",1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
266,"Silcoon","['Bug']","['Shed Skin']","[]","III",50,35,55,25,25,15,205,10.0,0.6,0.5,"Cocoon Pokémon","120","15",['Bug'],"Medium Fast
","70
",0,0,0,0,2,3,"Wurmple",1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
267,"Beautifly","['Bug', 'Flying']","['Swarm']","['Rivalry']","III",60,70,50,100,50,65,395,28.4,1.0,0.5,"Butterfly Pokémon","45","15",['Bug'],"Medium Fast
","70
",0,0,0,0,3,3,"Silcoon",1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
268,"Cascoon","['Bug']","['Shed Skin']","[]","III",50,35,55,25,25,15,205,11.5,0.7,0.5,"Cocoon Pokémon","120","15",['Bug'],"Medium Fast
","70
",0,0,0,0,2,3,"Wurmple",1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
269,"Dustox","['Bug', 'Poison']","['Shield Dust']","['Compound Eyes']","III",60,50,70,50,90,65,385,31.6,1.2,0.5,"Poison Moth Pokémon","45","15",['Bug'],"Medium Fast
","70
",0,0,0,0,3,3,"Cascoon",1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
270,"Lotad","['Water', 'Grass']","['Swift Swim', 'Rain Dish']","['Own Tempo']","III",40,30,30,40,50,30,220,2.6,0.5,0.5,"Water Weed Pokémon","255","15",['Water 1' 'Grass'],"Medium Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
271,"Lombre","['Water', 'Grass']","['Swift Swim', 'Rain Dish']","['Own Tempo']","III",60,50,50,60,70,50,340,32.5,1.2,0.5,"Jolly Pokémon","120","15",['Water 1' 'Grass'],"Medium Slow
","70
",0,0,0,0,2,3,"Lotad",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,"Ludicolo","['Water', 'Grass']","['Swift Swim', 'Rain Dish']","['Own Tempo']","III",80,70,70,90,100,70,480,55.0,1.5,0.5,"Carefree Pokémon","45","15",['Water 1' 'Grass'],"Medium Slow
","70
",0,0,0,0,3,3,"Lombre",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273,"Seedot","['Grass']","['Chlorophyll', 'Early Bird']","['Pickpocket']","III",40,40,50,30,30,30,220,4.0,0.5,0.5,"Acorn Pokémon","255","15",['Field' 'Grass'],"Medium Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
274,"Nuzleaf","['Grass', 'Dark']","['Chlorophyll', 'Early Bird']","['Pickpocket']","III",70,70,40,60,40,60,340,28.0,1.0,0.5,"Wily Pokémon","120","15",['Field' 'Grass'],"Medium Slow
","70
",0,0,0,0,2,3,"Seedot",1.0,2.0,2.0,2.0,0.5,1.0,4.0,0.5,1.0,2.0,0.5,0.5,0.5,0.0,2.0,1.0,0.5,2.0
275,"Shiftry","['Grass', 'Dark']","['Chlorophyll', 'Wind Rider']","['Pickpocket']","III",90,100,60,90,60,80,480,59.6,1.3,0.5,"Wicked Pokémon","45","15",['Field' 'Grass'],"Medium Slow
","70
",0,0,0,0,3,3,"Nuzleaf",1.0,2.0,2.0,2.0,0.5,1.0,4.0,0.5,1.0,2.0,0.5,0.5,0.5,0.0,2.0,1.0,0.5,2.0
276,"Taillow","['Normal', 'Flying']","['Guts']","['Scrappy']","III",40,55,30,30,30,85,270,2.3,0.3,0.5,"Tiny Swallow Pokémon","200","15",['Flying'],"Medium Slow
","70
",0,0,0,0,1,2,"No Preevolution",1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
277,"Swellow","['Normal', 'Flying']","['Guts']","['Scrappy']","III",60,85,60,75,50,125,455,19.8,0.7,0.5,"Swallow Pokémon","45","15",['Flying'],"Medium Slow
","70
",0,0,0,0,2,2,"Taillow",1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
278,"Wingull","['Water', 'Flying']","['Keen Eye', 'Hydration']","['Rain Dish']","III",40,30,30,55,30,85,270,9.5,0.6,0.5,"Seagull Pokémon","190","20",['Water 1' 'Flying'],"Medium Fast
","70
",0,0,0,0,1,2,"No Preevolution",1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0
279,"Pelipper","['Water', 'Flying']","['Keen Eye', 'Drizzle']","['Rain Dish']","III",60,50,100,95,70,65,440,28.0,1.2,0.5,"Water Bird Pokémon","45","20",['Water 1' 'Flying'],"Medium Fast
","70
",0,0,0,0,2,2,"Wingull",1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0
280,"Ralts","['Psychic', 'Fairy']","['Synchronize', 'Trace']","['Telepathy']","III",28,25,25,45,35,40,198,6.6,0.4,0.5,"Feeling Pokémon","235","20",['Human-Like' 'Amorphous'],"Slow
","35
",0,0,0,0,1,3,"No Preevolution",1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
281,"Kirlia","['Psychic', 'Fairy']","['Synchronize', 'Trace']","['Telepathy']","III",38,35,35,65,55,50,278,20.2,0.8,0.5,"Emotion Pokémon","120","20",['Human-Like' 'Amorphous'],"Slow
","35
",0,0,0,0,2,3,"Ralts",1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
282,"Gardevoir","['Psychic', 'Fairy']","['Synchronize', 'Trace']","['Telepathy']","III",68,65,65,125,115,80,618,48.4,1.6,0.5,"Embrace Pokémon","45","20",['Human-Like' 'Amorphous'],"Slow
","35
",0,0,0,1,3,3,"Kirlia",1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
283,"Surskit","['Bug', 'Water']","['Swift Swim']","['Rain Dish']","III",40,30,32,50,52,65,269,1.7,0.5,0.5,"Pond Skater Pokémon","200","15",['Water 1' 'Bug'],"Medium Fast
","70
",0,0,0,0,1,2,"No Preevolution",1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0
284,"Masquerain","['Bug', 'Flying']","['Intimidate']","['Unnerve']","III",70,60,62,100,82,80,454,3.6,0.8,0.5,"Eyeball Pokémon","75","15",['Water 1' 'Bug'],"Medium Fast
","70
",0,0,0,0,2,2,"Surskit",1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
285,"Shroomish","['Grass']","['Effect Spore', 'Poison Heal']","['Quick Feet']","III",60,40,60,40,60,35,295,4.5,0.4,0.5,"Mushroom Pokémon","255","15",['Fairy' 'Grass'],"Fluctuating
","70
",0,0,0,0,1,2,"No Preevolution",1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
286,"Breloom","['Grass', 'Fighting']","['Effect Spore', 'Poison Heal']","['Technician']","III",60,130,80,60,60,70,460,39.2,1.2,0.5,"Mushroom Pokémon","90","15",['Fairy' 'Grass'],"Fluctuating
","70
",0,0,0,0,2,2,"Shroomish",1.0,1.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,2.0
287,"Slakoth","['Normal']","['Truant']","[]","III",60,60,60,35,35,30,280,24.0,0.8,0.5,"Slacker Pokémon","255","15",['Field'],"Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,"Vigoroth","['Normal']","['Vital Spirit']","[]","III",80,80,80,55,55,90,440,46.5,1.4,0.5,"Wild Monkey Pokémon","120","15",['Field'],"Slow
","70
",0,0,0,0,2,3,"Slakoth",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289,"Slaking","['Normal']","['Truant']","[]","III",150,160,100,95,65,100,670,130.5,2.0,0.5,"Lazy Pokémon","45","15",['Field'],"Slow
","70
",0,0,0,0,3,3,"Vigoroth",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290,"Nincada","['Bug', 'Ground']","['Compound Eyes']","['Run Away']","III",31,45,90,30,30,40,266,5.5,0.5,0.5,"Trainee Pokémon","255","15",['Bug' 'Mineral'],"Erratic
","70
",0,0,0,0,1,2,"No Preevolution",1.0,0.5,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
291,"Ninjask","['Bug', 'Flying']","['Speed Boost']","['Infiltrator']","III",61,90,45,50,50,160,456,12.0,0.8,0.5,"Ninja Pokémon","120","15",['Bug'],"Erratic
","70
",0,0,0,0,2,2,"Nincada",1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
292,"Shedinja","['Bug', 'Ghost']","['Wonder Guard']","[]","III",1,90,45,30,30,40,236,1.2,0.8,"-","Shed Pokémon","45","15",['Mineral' 'Bug'],"Erratic
","70
",0,0,0,0,3,2,"Ninjask",0.0,0.0,2.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0
293,"Whismur","['Normal']","['Soundproof']","['Rattled']","III",64,51,23,51,23,28,240,16.3,0.6,0.5,"Whisper Pokémon","190","20",['Monster' 'Field'],"Medium Slow
","70
",0,0,0,0,1,3,"No Preevolution",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,"Loudred","['Normal']","['Soundproof']","['Scrappy']","III",84,71,43,71,43,48,360,40.5,1.0,0.5,"Big Voice Pokémon","120","20",['Monster' 'Field'],"Medium Slow
","70
",0,0,0,0,2,3,"Whismur",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,"Exploud","['Normal']","['Soundproof']","['Scrappy']","III",104,91,63,91,73,68,490,84.0,1.5,0.5,"Loud Noise Pokémon","45","20",['Monster' 'Field'],"Medium Slow
","70
",0,0,0,0,3,3,"Loudred",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,"Makuhita","['Fighting']","['Thick Fat', 'Guts']","['Sheer Force']","III",72,60,30,20,30,25,237,86.4,1.0,0.75,"Guts Pokémon","180","20",['Human-Like'],"Fluctuating
","70
",0,0,0,0,1,2,"No Preevolution",1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
297,"Hariyama","['Fighting']","['Thick Fat', 'Guts']","['Sheer Force']","III",144,120,60,40,60,50,474,253.8,2.3,0.75,"Arm Thrust Pokémon","200","20",['Human-Like'],"Fluctuating
","70
",0,0,0,0,2,2,"Makuhita",1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
298,"Azurill","['Normal', 'Fairy']","['Thick Fat', 'Huge Power']","['Sap Sipper']","III",50,20,40,20,40,20,190,2.0,0.2,0.25,"Polka Dot Pokémon","150","10","-","Fast
","70
",0,0,0,0,1,3,"No Preevolution",1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
299,"Nosepass","['Rock']","['Sturdy', 'Magnet Pull']","['Sand Force']","III",30,45,135,45,90,30,375,97.0,1.0,0.5,"Compass Pokémon","255","20",['Mineral'],"Medium Fast
","70
",0,0,0,0,1,2,"No Preevolution",0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
300,"Skitty","['Normal']","['Cute Charm', 'Normalize']","['Wonder Skin']","III",50,45,45,35,35,50,260,11.0,0.6,0.25,"Kitten Pokémon","255","15",['Field' 'Fairy'],"Fast
","70
",0,0,0,0,1,2,"No Preevolution",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
301,"Delcatty","['Normal']","['Cute Charm', 'Normalize']","['Wonder Skin']","III",70,65,65,55,55,90,400,32.6,1.1,0.25,"Prim Pokémon","60","15",['Field' 'Fairy'],"Fast
","70
",0,0,0,0,2,2,"Skitty",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,"Sableye","['Dark', 'Ghost']","['Keen Eye', 'Stall']","['Prankster']","III",50,75,75,65,65,50,480,11.0,0.5,0.5,"Darkness Pokémon","45","25",['Human-Like'],"Medium Slow
","35
",0,0,0,1,1,1,"No Preevolution",0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
303,"Mawile","['Steel', 'Fairy']","['Hyper Cutter', 'Intimidate']","['Sheer Force']","III",50,85,85,55,55,50,480,11.5,0.6,0.5,"Deceiver Pokémon","45","20",['Field' 'Fairy'],"Fast
","70
",0,0,0,1,1,1,"No Preevolution",0.5,1.0,0.5,0.0,2.0,0.5,0.25,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5
304,"Aron","['Steel', 'Rock']","['Sturdy', 'Rock Head']","['Heavy Metal']","III",50,70,100,40,40,30,330,60.0,0.4,0.5,"Iron Armor Pokémon","180","35",['Monster'],"Slow
","35
",0,0,0,0,1,3,"No Preevolution",0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
305,"Lairon","['Steel', 'Rock']","['Sturdy', 'Rock Head']","['Heavy Metal']","III",60,90,140,50,50,40,430,120.0,0.9,0.5,"Iron Armor Pokémon","90","35",['Monster'],"Slow
","35
",0,0,0,0,2,3,"Aron",0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
306,"Aggron","['Steel', 'Rock']","['Sturdy', 'Rock Head']","['Heavy Metal']","III",70,110,180,60,60,50,630,360.0,2.1,0.5,"Iron Armor Pokémon","45","35",['Monster'],"Slow
","35
",0,0,0,1,3,3,"Lairon",0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
307,"Meditite","['Fighting', 'Psychic']","['Pure Power']","['Telepathy']","III",30,40,55,40,55,60,280,11.2,0.6,0.5,"Meditate Pokémon","180","20",['Human-Like'],"Medium Fast
","70
",0,0,0,0,1,2,"No Preevolution",1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
308,"Medicham","['Fighting', 'Psychic']","['Pure Power']","['Telepathy']","III",60,60,75,60,75,80,510,31.5,1.3,0.5,"Meditate Pokémon","90","20",['Human-Like'],"Medium Fast
","70
",0,0,0,1,2,2,"Meditite",1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
309,"Electrike","['Electric']","['Static', 'Lightning Rod']","['Minus']","III",40,45,40,65,40,65,295,15.2,0.6,0.5,"Lightning Pokémon","120","20",['Field'],"Slow
","70
",0,0,0,0,1,2,"No Preevolution",1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
310,"Manectric","['Electric']","['Static', 'Lightning Rod']","['Minus']","III",70,75,60,105,60,105,575,40.2,1.5,0.5,"Discharge Pokémon","45","20",['Field'],"Slow
","70
",0,0,0,1,2,2,"Electrike",1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
311,"Plusle","['Electric']","['Plus']","['Lightning Rod']","III",60,50,40,85,75,95,405,4.2,0.4,0.5,"Cheering Pokémon","200","20",['Fairy'],"Medium Fast
","70
",0,0,0,0,1,1,"No Preevolution",1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
312,"Minun","['Electric']","['Minus']","['Volt Absorb']","III",60,40,50,75,85,95,405,4.2,0.4,0.5,"Cheering Pokémon","200","20",['Fairy'],"Medium Fast
","70
",0,0,0,0,1,1,"No Preevolution",1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
313,"Volbeat","['Bug']","['Illuminate', 'Swarm']","['Prankster']","III",65,73,75,47,85,85,430,17.7,0.7,1.0,"Firefly Pokémon","150","15",['Bug' 'Human-Like'],"Erratic
","70
",0,0,0,0,1,1,"No Preevolution",1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
314,"Illumise","['Bug']","['Oblivious', 'Tinted Lens']","['Prankster']","III",65,47,75,73,85,85,430,17.7,0.6,0.0,"Firefly Pokémon","150","15",['Bug' 'Human-Like'],"Fluctuating
","70
",0,0,0,0,1,1,"No Preevolution",1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
315,"Roselia","['Grass', 'Poison']","['Natural Cure', 'Poison Point']","['Leaf Guard']","III",50,60,45,100,80,65,400,2.0,0.3,0.5,"Thorn Pokémon","150","20",['Fairy' 'Grass'],"Medium Slow
","70
",0,0,0,0,2,3,"Budew",1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
316,"Gulpin","['Poison']","['Liquid Ooze', 'Sticky Hold']","['Gluttony']","III",70,43,53,43,53,40,302,10.3,0.4,0.5,"Stomach Pokémon","225","20",['Amorphous'],"Fluctuating
","70
",0,0,0,0,1,2,"No Preevolution",1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
317,"Swalot","['Poison']","['Liquid Ooze', 'Sticky Hold']","['Gluttony']","III",100,73,83,73,83,55,467,80.0,1.7,0.5,"Poison Bag Pokémon","75","20",['Amorphous'],"Fluctuating
","70
",0,0,0,0,2,2,"Gulpin",1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
318,"Carvanha","['Water', 'Dark']","['Rough Skin']","['Speed Boost']","III",45,90,20,65,20,65,305,20.8,0.8,0.5,"Savage Pokémon","225","20",['Water 2'],"Slow
","35
",0,0,0,0,1,2,"No Preevolution",1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,2.0,0.0,0.5,1.0,0.5,2.0
